id;id_grado_ofertado;año;convocatoria;grupo;nota
247;64;2025;ordinaria;4;5.0
248;64;2025;ordinaria;5;5.0
249;72;2025;ordinaria;2;5.0
250;69;2025;ordinaria;1;5.0
251;69;2025;ordinaria;2;5.0
252;293;2025;ordinaria;2;5.0
253;257;2025;ordinaria;2;5.0
254;489;2025;ordinaria;2;5.0
255;78;2025;ordinaria;2;5.0
256;441;2025;ordinaria;2;5.0
257;476;2025;ordinaria;2;5.0
258;461;2025;ordinaria;2;5.0
259;458;2025;ordinaria;2;5.0
260;459;2025;ordinaria;2;5.0
261;457;2025;ordinaria;2;5.0
262;247;2025;ordinaria;2;5.0
263;67;2025;ordinaria;1;5.0
264;67;2025;ordinaria;2;5.0
265;68;2025;ordinaria;1;5.0
266;68;2025;ordinaria;2;5.0
267;70;2025;ordinaria;1;5.0
268;70;2025;ordinaria;2;5.0
