universidad,grado,grupo,nota,año,convocatoria
Universidad Complutense De Madrid,Gestión y Administración Pública,Grupo 2,6.34,2025,ordinaria
Universidad Complutense De Madrid,Gestión y Administración Pública,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Gestión y Administración Pública,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Gestión y Administración Pública,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Información y Documentación,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Información y Documentación,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Información y Documentación,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Información y Documentación,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Información y Documentación,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Infantil,Grupo 1,9.050,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Infantil,Grupo 2,7.86,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Infantil,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Infantil,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Infantil,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Primaria,Grupo 1,10.262,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Primaria,Grupo 2,8.66,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Primaria,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Primaria,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educación Primaria,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Pedagogía,Grupo 1,8.600,2025,ordinaria
Universidad Complutense De Madrid,Pedagogía,Grupo 2,8,2025,ordinaria
Universidad Complutense De Madrid,Pedagogía,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Pedagogía,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Pedagogía,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Periodismo,Grupo 1,6.575,2025,ordinaria
Universidad Complutense De Madrid,Periodismo,Grupo 2,6.62,2025,ordinaria
Universidad Complutense De Madrid,Periodismo,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Periodismo,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Periodismo,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Publicidad y Relaciones Públicas,Grupo 1,10.364,2025,ordinaria
Universidad Complutense De Madrid,Publicidad y Relaciones Públicas,Grupo 2,7.88,2025,ordinaria
Universidad Complutense De Madrid,Publicidad y Relaciones Públicas,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Publicidad y Relaciones Públicas,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Publicidad y Relaciones Públicas,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Internacionales,Grupo 1,11.185,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Internacionales,Grupo 2,8.93,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Internacionales,Grupo 3,8.525,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Internacionales,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Internacionales,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Laborales y Recursos Humanos,Grupo 1,7.350,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Laborales y Recursos Humanos,Grupo 2,8.11,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Laborales y Recursos Humanos,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Laborales y Recursos Humanos,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Laborales y Recursos Humanos,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Sociología,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Sociología,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Sociología,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Sociología,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Sociología,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Trabajo Social,Grupo 1,7.140,2025,ordinaria
Universidad Complutense De Madrid,Trabajo Social,Grupo 2,7.53,2025,ordinaria
Universidad Complutense De Madrid,Trabajo Social,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Trabajo Social,Grupo 4,5.00,2025,ordinaria
