id;id_grado_ofertado;año;convocatoria;grupo;nota
323;6;2025;ordinaria;Grupo 4;5.0
324;15;2025;ordinaria;Grupo 4;5.0
325;2;2025;ordinaria;Grupo 4;5.0
326;7;2025;ordinaria;Grupo 4;5.0
327;16;2025;ordinaria;Grupo 4;5.0
328;3;2025;ordinaria;Grupo 4;5.0
329;8;2025;ordinaria;Grupo 4;5.0
330;17;2025;ordinaria;Grupo 4;5.0
331;4;2025;ordinaria;Grupo 4;5.0
332;9;2025;ordinaria;Grupo 4;5.0
333;18;2025;ordinaria;Grupo 4;5.0
334;1;2025;ordinaria;Grupo 5;5.0
335;6;2025;ordinaria;Grupo 5;5.0
336;15;2025;ordinaria;Grupo 5;5.0
337;2;2025;ordinaria;Grupo 5;5.0
338;7;2025;ordinaria;Grupo 5;5.0
339;16;2025;ordinaria;Grupo 5;5.0
340;3;2025;ordinaria;Grupo 5;5.0
341;8;2025;ordinaria;Grupo 5;5.0
342;17;2025;ordinaria;Grupo 5;5.0
343;4;2025;ordinaria;Grupo 5;5.0
344;9;2025;ordinaria;Grupo 5;5.0
345;18;2025;ordinaria;Grupo 5;5.0
346;311;2025;ordinaria;Grupo 1;10.937
347;311;2025;ordinaria;Grupo 2;8.76
348;311;2025;ordinaria;Grupo 3;5.0
349;311;2025;ordinaria;Grupo 4;5.0
350;311;2025;ordinaria;Grupo 5;5.0
351;115;2025;ordinaria;Grupo 1;5.778
352;229;2025;ordinaria;Grupo 1;5.778
353;232;2025;ordinaria;Grupo 1;5.778
354;115;2025;ordinaria;Grupo 2;7.54
355;229;2025;ordinaria;Grupo 2;7.54
356;232;2025;ordinaria;Grupo 2;7.54
357;115;2025;ordinaria;Grupo 3;5.0
358;229;2025;ordinaria;Grupo 3;5.0
359;232;2025;ordinaria;Grupo 3;5.0
360;115;2025;ordinaria;Grupo 4;5.0
361;229;2025;ordinaria;Grupo 4;5.0
362;232;2025;ordinaria;Grupo 4;5.0
363;115;2025;ordinaria;Grupo 5;5.0
364;229;2025;ordinaria;Grupo 5;5.0
365;232;2025;ordinaria;Grupo 5;5.0
366;240;2025;ordinaria;Grupo 1;8.15
367;240;2025;ordinaria;Grupo 2;6.6
368;240;2025;ordinaria;Grupo 3;5.0
369;240;2025;ordinaria;Grupo 4;5.0
370;240;2025;ordinaria;Grupo 5;5.0
371;27;2025;ordinaria;Grupo 1;9.544
372;36;2025;ordinaria;Grupo 1;9.544
373;72;2025;ordinaria;Grupo 1;9.544
374;106;2025;ordinaria;Grupo 1;9.544
375;125;2025;ordinaria;Grupo 1;9.544
376;141;2025;ordinaria;Grupo 1;9.544
377;225;2025;ordinaria;Grupo 1;9.544
378;260;2025;ordinaria;Grupo 1;9.544
379;315;2025;ordinaria;Grupo 1;9.544
380;319;2025;ordinaria;Grupo 1;9.544
381;320;2025;ordinaria;Grupo 1;9.544
382;27;2025;ordinaria;Grupo 2;9.63
383;36;2025;ordinaria;Grupo 2;9.63
384;72;2025;ordinaria;Grupo 2;9.63
385;106;2025;ordinaria;Grupo 2;9.63
386;125;2025;ordinaria;Grupo 2;9.63
387;141;2025;ordinaria;Grupo 2;9.63
388;225;2025;ordinaria;Grupo 2;9.63
389;260;2025;ordinaria;Grupo 2;9.63
390;315;2025;ordinaria;Grupo 2;9.63
391;319;2025;ordinaria;Grupo 2;9.63
392;320;2025;ordinaria;Grupo 2;9.63
393;27;2025;ordinaria;Grupo 3;5.0
394;36;2025;ordinaria;Grupo 3;5.0
395;72;2025;ordinaria;Grupo 3;5.0
396;106;2025;ordinaria;Grupo 3;5.0
397;125;2025;ordinaria;Grupo 3;5.0
398;141;2025;ordinaria;Grupo 3;5.0
399;225;2025;ordinaria;Grupo 3;5.0
400;260;2025;ordinaria;Grupo 3;5.0
401;315;2025;ordinaria;Grupo 3;5.0
402;319;2025;ordinaria;Grupo 3;5.0
403;320;2025;ordinaria;Grupo 3;5.0
404;27;2025;ordinaria;Grupo 4;5.0
405;36;2025;ordinaria;Grupo 4;5.0
406;72;2025;ordinaria;Grupo 4;5.0
407;106;2025;ordinaria;Grupo 4;5.0
408;125;2025;ordinaria;Grupo 4;5.0
409;141;2025;ordinaria;Grupo 4;5.0
410;225;2025;ordinaria;Grupo 4;5.0
411;260;2025;ordinaria;Grupo 4;5.0
412;315;2025;ordinaria;Grupo 4;5.0
413;319;2025;ordinaria;Grupo 4;5.0
414;320;2025;ordinaria;Grupo 4;5.0
415;27;2025;ordinaria;Grupo 5;5.0
416;36;2025;ordinaria;Grupo 5;5.0
417;72;2025;ordinaria;Grupo 5;5.0
418;106;2025;ordinaria;Grupo 5;5.0
419;125;2025;ordinaria;Grupo 5;5.0
420;141;2025;ordinaria;Grupo 5;5.0
