universidad,grado,grupo,nota,año,convocatoria
Universidad Complutense De Madrid,Ciencia de los Datos Aplicada,Grupo 2,8.76,2025,ordinaria
Universidad Complutense De Madrid,Ciencia de los Datos Aplicada,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Ciencia de los Datos Aplicada,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Ciencia de los Datos Aplicada,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Ciencias Politicas,Grupo 1,5.778,2025,ordinaria
Universidad Complutense De Madrid,Ciencias Politicas,Grupo 2,7.54,2025,ordinaria
Universidad Complutense De Madrid,Ciencias Politicas,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Ciencias Politicas,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Ciencias Politicas,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Comercio,Grupo 1,8.150,2025,ordinaria
Universidad Complutense De Madrid,Comercio,Grupo 2,6.60,2025,ordinaria
Universidad Complutense De Madrid,Comercio,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Comercio,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Comercio,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Comunicacion Audiovisual,Grupo 1,9.544,2025,ordinaria
Universidad Complutense De Madrid,Comunicacion Audiovisual,Grupo 2,9.63,2025,ordinaria
Universidad Complutense De Madrid,Comunicacion Audiovisual,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Comunicacion Audiovisual,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Comunicacion Audiovisual,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Criminologia,Grupo 1,11.233,2025,ordinaria
Universidad Complutense De Madrid,Criminologia,Grupo 2,8.14,2025,ordinaria
Universidad Complutense De Madrid,Criminologia,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Criminologia,Grupo 4,6.75,2025,ordinaria
Universidad Complutense De Madrid,Criminologia,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Derecho,Grupo 1,8.439,2025,ordinaria
Universidad Complutense De Madrid,Derecho,Grupo 2,7.16,2025,ordinaria
Universidad Complutense De Madrid,Derecho,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Derecho,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Derecho,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Economia,Grupo 1,8.800,2025,ordinaria
Universidad Complutense De Madrid,Economia,Grupo 2,6.65,2025,ordinaria
Universidad Complutense De Madrid,Economia,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Economia,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Economia,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Economia,Grupo 1,9.545,2025,ordinaria
Universidad Complutense De Madrid,Economia,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Economia,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Economia,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Economia,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Educacion Social,Grupo 1,8.500,2025,ordinaria
Universidad Complutense De Madrid,Educacion Social,Grupo 2,7.62,2025,ordinaria
Universidad Complutense De Madrid,Educacion Social,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Educacion Social,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Educacion Social,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estadistica Aplicada,Grupo 1,8.878,2025,ordinaria
Universidad Complutense De Madrid,Estadistica Aplicada,Grupo 2,7.95,2025,ordinaria
Universidad Complutense De Madrid,Estadistica Aplicada,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Estadistica Aplicada,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estadistica Aplicada,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,"Finanzas, Banca y Seguros",Grupo 1,9.420,2025,ordinaria
Universidad Complutense De Madrid,"Finanzas, Banca y Seguros",Grupo 2,7.78,2025,ordinaria
Universidad Complutense De Madrid,"Finanzas, Banca y Seguros",Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,"Finanzas, Banca y Seguros",Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,"Finanzas, Banca y Seguros",Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Geografia y Ordenacion del Territorio,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Geografia y Ordenacion del Territorio,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Geografia y Ordenacion del Territorio,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Geografia y Ordenacion del Territorio,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Geografia y Ordenacion del Territorio,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Gestion y Administracion Publica,Grupo 1,5.228,2025,ordinaria
Universidad Complutense De Madrid,Gestion y Administracion Publica,Grupo 2,6.34,2025,ordinaria
Universidad Complutense De Madrid,Gestion y Administracion Publica,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Gestion y Administracion Publica,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Gestion y Administracion Publica,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Informacion y Documentacion,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Informacion y Documentacion,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Informacion y Documentacion,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Informacion y Documentacion,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Informacion y Documentacion,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Infantil,Grupo 1,9.050,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Infantil,Grupo 2,7.86,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Infantil,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Infantil,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Infantil,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 1,10.262,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 2,8.66,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Pedagogia,Grupo 1,8.600,2025,ordinaria
Universidad Complutense De Madrid,Pedagogia,Grupo 2,8,2025,ordinaria
Universidad Complutense De Madrid,Pedagogia,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Pedagogia,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Pedagogia,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Periodismo,Grupo 1,6.575,2025,ordinaria
Universidad Complutense De Madrid,Periodismo,Grupo 2,6.62,2025,ordinaria
Universidad Complutense De Madrid,Periodismo,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Periodismo,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Periodismo,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Publicidad y Relaciones Publicas,Grupo 1,10.364,2025,ordinaria
Universidad Complutense De Madrid,Publicidad y Relaciones Publicas,Grupo 2,7.88,2025,ordinaria
Universidad Complutense De Madrid,Publicidad y Relaciones Publicas,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Publicidad y Relaciones Publicas,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Publicidad y Relaciones Publicas,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Internacionales,Grupo 1,11.185,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Internacionales,Grupo 2,8.93,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Internacionales,Grupo 3,8.525,2025,ordinaria
Universidad Complutense De Madrid,Relaciones Internacionales,Grupo 4,5.00,2025,ordinaria
